priority,score,id,current_label,suggested_action,text,l1,l2,current_reason,flags,controversial,difficulty,register_group,register,original_split,reviewer_decision,reviewer_reason
HIGH,8,POS-0374,POSITIVE,REVIEW,男幼师连续五年获评优秀 家长送来锦旗,二、冗余标记（性别在场却不承载信息）,2.3 标题与导语的冗余标性,获评优秀与性别无关，性别前缀把当事人框定为“反常样本”。,争议样本 | 处置强度较弱 | 依赖假设或隐藏语境：若 | 边界子类,是,中,新闻报道,民生新闻标题,dev,,
HIGH,8,POS-0375,POSITIVE,REVIEW,由三名女工程师组成的团队，昨日完成了国产芯片的首次流片验证。,二、冗余标记（性别在场却不承载信息）,2.3 标题与导语的冗余标性,导语标注团队性别构成，与流片验证这一成果无关。,争议样本 | 处置强度较弱 | 依赖假设或隐藏语境：若 | 边界子类,是,中,新闻报道,科技新闻导语,index,,
HIGH,8,POS-0445,POSITIVE,MOVE_TO_NEGATIVE,女士们先生们，本次航班即将开始下降，请系好安全带。,六、以性别设限与划界,6.1 二元穷举式称呼与并称,以二元穷举称呼全体旅客，有旅客不在这两类之中。,争议样本 | 已知高风险边界子类 | 可被理解为具体事实或具体对象,是,易,商业与产品,机上广播,index,,
HIGH,8,POS-0494,POSITIVE,MOVE_TO_NEGATIVE,致各位先生：本刊拟于下季度组织专题，诚邀赐稿。,一、缺省预设（信息缺位处默认为男性）,1.6 收件与受众称谓默认,以“先生”统称全体潜在作者，属受众称谓默认。,争议样本 | 已知高风险边界子类 | 可被理解为具体事实或具体对象,是,中,学术与调研,约稿函,test,,
HIGH,8,POS-0704,POSITIVE,MOVE_TO_NEGATIVE,各位先生小姐，報名將於本週五截止。,六、以性别设限与划界,6.1 二元穷举式称呼与并称,二元穷举称呼全体受众，原文为繁体。,争议样本 | 已知高风险边界子类 | 可被理解为具体事实或具体对象,是,中,商业与产品,繁体活动页,dev,,
HIGH,8,POS-0708,POSITIVE,REVIEW,他经济崛起：男士护肤十大爆款,二、冗余标记（性别在场却不承载信息）,2.6 商品、空间与内容的性别化归类,以性别化标签概括消费板块，把品类增长叙事绑定到性别。,争议样本 | 处置强度较弱 | 已知高风险边界子类,是,中,商业与产品,专题页标题,index,,
HIGH,8,POS-0749,POSITIVE,REVIEW,她是抗洪一线的巾帼英雄，连续七天坚守在堤坝上。,二、冗余标记（性别在场却不承载信息）,2.2 性别专用与阴性化称谓,以“巾帼”限定“英雄”，暗示女性英雄需另设范畴。,争议样本 | 处置强度较弱 | 依赖假设或隐藏语境：有分歧 | 边界子类,是,中,公文与规章,表彰材料,index,,
HIGH,8,POS-0838,POSITIVE,REVIEW,他成为该奖项设立以来首位获奖的男性编舞，评委会给出全票。,二、冗余标记（性别在场却不承载信息）,2.5 “首位女性”式顺位标注,顺位标注把身份变成新闻点，与全票获奖这一事实无关。,争议样本 | 处置强度较弱 | 已知高风险边界子类,是,中,文艺创作与评论,颁奖报道,test,,
HIGH,8,POS-0946,POSITIVE,REVIEW,女校长坚守山区二十年 送出三百名大学生,二、冗余标记（性别在场却不承载信息）,2.3 标题与导语的冗余标性,坚守年限与升学成果与性别无关。,争议样本 | 处置强度较弱 | 依赖假设或隐藏语境：若 | 边界子类,是,中,新闻报道,教育新闻标题,test,,
HIGH,8,POS-0972,POSITIVE,MOVE_TO_NEGATIVE,主持人以一句“各位男士女士”开场，随后宣布获奖名单。,六、以性别设限与划界,6.1 二元穷举式称呼与并称,以二元穷举称呼全场，报道原样转述时同样构成使用。,争议样本 | 已知高风险边界子类 | 可被理解为具体事实或具体对象,是,中,新闻报道,颁奖典礼报道,test,,
HIGH,7,POS-0038,POSITIVE,MOVE_TO_NEGATIVE,亲爱的先生／小姐：感谢您长期以来对本店的惠顾。,一、缺省预设（信息缺位处默认为男性）,1.6 收件与受众称谓默认,二元穷举式称呼，且“小姐”一词在部分语境已带贬义。,依赖假设或隐藏语境：语境 | 已知高风险边界子类 | 可被理解为具体事实或具体对象,否,易,商业与产品,客户信函,index,,
HIGH,7,POS-0084,POSITIVE,REVIEW,有需要随时叫我们的小哥哥小姐姐哈~,二、冗余标记（性别在场却不承载信息）,2.4 服务岗位的性别化称呼与设定,以性别化昵称指代服务岗位，且强制二元。,争议样本 | 处置强度较弱 | 可被理解为具体事实或具体对象,是,中,商业与产品,餐厅点单提示,index,,
HIGH,7,POS-0187,POSITIVE,REVIEW,望我子孙光宗耀祖，传承香火，绵延不绝。,四、规范说教（应然性：以性别提出要求）,4.5 传统角色规训与伦理话语,宗族叙事以男性后代为唯一延续主体。,争议样本 | 处置强度较弱 | 依赖假设或隐藏语境：有分歧,是,难,文艺创作与评论,家训题词,test,,
HIGH,7,POS-0189,POSITIVE,REVIEW,重的箱子放着我来搬，女同志就别动手了。,四、规范说教（应然性：以性别提出要求）,4.6 保护式区别对待（善意歧视）,表面礼遇，实则预设能力差异，属善意性别歧视。,争议样本 | 处置强度较弱 | 依赖假设或隐藏语境：有分歧,是,难,口语与私人交流,办公室对话,test,,
HIGH,7,POS-0218,POSITIVE,REVIEW,开幕式上，王总携夫人出席。,五、关系性不对等（需比较两个对象方成立）,5.4 附属化定位,“携”与“夫人”构成附属定位，一方无独立身份。,争议样本 | 处置强度较弱 | 可被理解为具体事实或具体对象,是,难,新闻报道,活动报道,dev,,
HIGH,7,POS-0242,POSITIVE,REVIEW,感谢导师的严谨指导，感谢师母在生活上的悉心照料。,五、关系性不对等（需比较两个对象方成立）,5.7 同一行为的双标评价,学术贡献归男性、生活照料归女性，构成隐性分工。,争议样本 | 处置强度较弱 | 依赖假设或隐藏语境：若,是,难,学术与调研,论文致谢,test,,
HIGH,7,POS-0294,POSITIVE,REVIEW,被试按男女分为两组，分别在上午和下午完成测试。,六、以性别设限与划界,6.6 空间、设施与分组的非必要划分,若研究假设不涉及性别，按性别分组会引入混淆变量。,争议样本 | 依赖假设或隐藏语境：若、假设 | 边界子类,是,难,学术与调研,实验分组说明,index,,
HIGH,7,POS-0437,POSITIVE,MOVE_TO_NEGATIVE,謹訂於本月十八日為小女完婚，恭請王經理攜夫人蒞臨。,五、关系性不对等（需比较两个对象方成立）,5.5 从夫称谓与旧式谦称,“携夫人”把受邀者的配偶设为被携带者，无独立受邀身份。,争议样本 | 依赖假设或隐藏语境：有分歧 | 可被理解为具体事实或具体对象,是,难,社交与社区,旧式请柬,index,,
HIGH,7,POS-0492,POSITIVE,REVIEW,願子孫後代承此家風，代代有男丁執掌門庭。,一、缺省预设（信息缺位处默认为男性）,1.5 男性词统称混合群体,“子孙后代”在宗族语境中以男性后代为默认，后半句直接写明男丁。,争议样本 | 依赖假设或隐藏语境：语境、有分歧 | 边界子类,是,难,公文与规章,家训题词,test,,
HIGH,7,POS-0538,POSITIVE,REVIEW,化妆是女人的事？现在是每个想变好看的人的事💄,三、属性绑定（陈述性：把特质归于性别）,3.3 劳动与人生领域的分工绑定,文案以设问形式复述该绑定，标点之后虽反转，前半句仍完整呈现了主张。,争议样本 | 处置强度较弱 | 依赖假设或隐藏语境：有分歧,是,难,商业与产品,美妆品牌文案,test,,
HIGH,7,POS-0570,POSITIVE,MOVE_TO_NEGATIVE,抢凳子环节女士优先，女生先入场，男生让一轮🎪,四、规范说教（应然性：以性别提出要求）,4.6 保护式区别对待（善意歧视）,以礼遇形式改变竞赛规则，预设了参与者的能力差异。,争议样本 | 依赖假设或隐藏语境：有分歧 | 可被理解为具体事实或具体对象,是,中,商业与产品,年会游戏规则,test,,
HIGH,7,POS-0583,POSITIVE,MOVE_TO_NEGATIVE,恭請周經理攜夫人蒞臨小兒周歲之喜。,五、关系性不对等（需比较两个对象方成立）,5.5 从夫称谓与旧式谦称,“携夫人”把受邀者的配偶设为被携带者，无独立受邀身份。,争议样本 | 依赖假设或隐藏语境：有分歧 | 可被理解为具体事实或具体对象,是,难,社交与社区,旧式请柬,index,,
HIGH,7,POS-0634,POSITIVE,REVIEW,她是我们行业当之无愧的女中豪杰，也是名副其实的女版工匠。,七、贬损与物化（词项自带贬抑）,7.4 以某一性别为标准的评价,两处均以男性范畴为默认，再加性别限定另设一类。,争议样本 | 处置强度较弱 | 依赖假设或隐藏语境：有分歧,是,中,公文与规章,颁奖词,dev,,
HIGH,7,POS-0653,POSITIVE,REVIEW,他把烟摁灭，冷笑一声：进了我的门就是我的人，别学外面那些娘们儿唧唧的做派，我说往东，你就别问为什么往西。,七、贬损与物化（词项自带贬抑）,7.3 所有权、支配与交易隐喻,所有权宣告叠加性别化詈词，是支配性台词的典型组合。,争议样本 | 依赖假设或隐藏语境：若、取决于 | 多触发点,是,难,文艺创作与评论,职场小说,index,,
HIGH,7,POS-0661,POSITIVE,MOVE_TO_NEGATIVE,李某某先生台鉴：本所受贵司委托，就阁下与我方当事人之间的房屋租赁纠纷致函如下，请阁下于收函之日起十五日内书面答复，逾期本所将依法采取进一步措施。,一、缺省预设（信息缺位处默认为男性）,1.6 收件与受众称谓默认,收函人性别未经核实，函件模板默认为男性；其余内容不含性别问题。,依赖假设或隐藏语境：未经核实 | 已知高风险边界子类 | 可被理解为具体事实或具体对象,否,中,法律与司法,律师函,test,,
HIGH,7,POS-0667,POSITIVE,REVIEW,三层为女性生活馆，涵盖女装、美妆、母婴与家居；四层为男士精品层，涵盖男装、腕表、运动与数码，两层扶梯分设，互不相通。,二、冗余标记（性别在场却不承载信息）,2.6 商品、空间与内容的性别化归类,按性别切分楼层并归类品类，母婴归女性一侧、数码归男性一侧，动线设计进一步固化。,争议样本 | 已知高风险边界子类 | 多触发点,是,中,商业与产品,商场楼层导视,dev,,
HIGH,7,POS-0669,POSITIVE,REVIEW,在座的各位老总、各位企业家兄弟，过去一年我们共同经历了不少难关，今天请允许我代表商会，向所有为本地经济付出的同仁致以敬意。,一、缺省预设（信息缺位处默认为男性）,1.5 男性词统称混合群体,两处男性化统称覆盖全场，后半句的“同仁”反而是可用的中性写法。,争议样本 | 依赖假设或隐藏语境：有分歧 | 边界子类 | 多触发点,是,中,公文与规章,表彰大会主持词,dev,,
HIGH,7,POS-0821,POSITIVE,MOVE_TO_NEGATIVE,尊敬的纳税人先生：本季度申报期已延长至月底，请及时办理。,一、缺省预设（信息缺位处默认为男性）,1.6 收件与受众称谓默认,公开信模板默认收件人为男性；纳税人还可能是法人。,依赖假设或隐藏语境：可能 | 已知高风险边界子类 | 可被理解为具体事实或具体对象,否,中,公文与规章,政务公开信,dev,,
HIGH,6,POS-0018,POSITIVE,REVIEW,新生遇到问题可以找辅导员，他会帮你对接宿管和教务。,一、缺省预设（信息缺位处默认为男性）,1.3 职业角色的默认代词,辅导员尚未指明具体人员，代词带预设。,依赖假设或隐藏语境：未指明、尚未 | 已知高风险边界子类,否,中,公文与规章,新生入学指引,index,,
HIGH,6,POS-0035,POSITIVE,REVIEW,下面有请几位有功之臣上台，他们是我们厂的顶梁柱。,一、缺省预设（信息缺位处默认为男性）,1.5 男性词统称混合群体,“臣”在传统语汇中默认男性。,争议样本 | 处置强度较弱 | 边界子类,是,中,公文与规章,表彰大会主持词,test,,
HIGH,6,POS-0074,POSITIVE,REVIEW,女子深夜驾车撞上高架护栏 所幸无人受伤,二、冗余标记（性别在场却不承载信息）,2.3 标题与导语的冗余标性,同类事件报道男性当事人时常不标性别，构成使用频率上的不对等。,争议样本 | 处置强度较弱 | 边界子类,是,难,新闻报道,社会新闻标题,index,,
HIGH,6,POS-0075,POSITIVE,REVIEW,女教师街头跪地救人 路人纷纷点赞,二、冗余标记（性别在场却不承载信息）,2.3 标题与导语的冗余标性,救人行为与性别无关，标题标性属吸睛式冗余。,争议样本 | 处置强度较弱 | 边界子类,是,中,新闻报道,正能量报道标题,index,,
HIGH,6,POS-0097,POSITIVE,REVIEW,首页设男频、女频两个入口，注册时按性别自动分流，不可切换。,二、冗余标记（性别在场却不承载信息）,2.6 商品、空间与内容的性别化归类,以性别而非题材归类内容，且强制分流不可切换，把阅读兴趣锁死在性别上。,争议样本 | 已知高风险边界子类,是,中,商业与产品,阅读App导航,index,,
HIGH,6,POS-0161,POSITIVE,REVIEW,连个家都养不起，算什么男人。,四、规范说教（应然性：以性别提出要求）,4.2 资格与身份定义,以经济能力定义男性资格；但若为角色刻画则属创作需要。,争议样本 | 依赖假设或隐藏语境：若、语境,是,难,文艺创作与评论,影视台词,test,,
HIGH,6,POS-0186,POSITIVE,REVIEW,她恪守妇道，从一而终，是那个时代最动人的注脚。,四、规范说教（应然性：以性别提出要求）,4.5 传统角色规训与伦理话语,若为剧中人物的时代还原属创作需要；若为宣发方的价值主张则应改。,争议样本 | 依赖假设或隐藏语境：若、语境,是,难,文艺创作与评论,古装剧宣发文案,test,,
HIGH,6,POS-0275,POSITIVE,REVIEW,婚姻状况：○未婚 ○已婚 ○离异；配偶性别：○男 ○女（已婚必填）,六、以性别设限与划界,6.3 表单、字段与选项的强制二元,采集配偶性别与用工管理无关，属非必要采集。,争议样本 | 依赖假设或隐藏语境：法务确认 | 边界子类,是,中,公文与规章,入职登记表,index,,
HIGH,6,POS-0296,POSITIVE,REVIEW,公司聚餐两个包厢，男同事一间女同事一间，方便说话。,六、以性别设限与划界,6.6 空间、设施与分组的非必要划分,以性别划分社交空间，会强化职场中的性别隔离。,争议样本 | 处置强度较弱 | 边界子类,是,中,商业与产品,餐厅包厢安排,test,,
HIGH,6,POS-0358,POSITIVE,REVIEW,各位先生，本届年会共收到投稿三百余篇，评审工作已于上月完成。,一、缺省预设（信息缺位处默认为男性）,1.5 男性词统称混合群体,学界旧例以“先生”统称全体与会者，实际排除了非男性听众。,争议样本 | 边界子类 | 可被理解为具体事实或具体对象,是,中,学术与调研,学会开幕致辞,index,,
HIGH,6,POS-0372,POSITIVE,REVIEW,我们组长是那种大姐大型的，谁有事她都能兜住。,二、冗余标记（性别在场却不承载信息）,2.2 性别专用与阴性化称谓,以江湖气的女性专称概括管理风格，男性同类风格不会被这样命名。,争议样本 | 处置强度较弱 | 边界子类,是,中,社交与社区,职场话题贴,index,,
HIGH,6,POS-0373,POSITIVE,REVIEW,女董事长增持自家股份 三个交易日耗资八千万,二、冗余标记（性别在场却不承载信息）,2.3 标题与导语的冗余标性,增持行为与性别无关，男性董事长同类报道通常不标性别。,争议样本 | 处置强度较弱 | 边界子类,是,难,新闻报道,财经新闻标题,dev,,
HIGH,6,POS-0382,POSITIVE,REVIEW,这条裙子少女感满满，一秒回到十八岁✨,二、冗余标记（性别在场却不承载信息）,2.6 商品、空间与内容的性别化归类,以“少女感”作为审美归类，把年轻女性外貌设为默认追求。,争议样本 | 已知高风险边界子类,是,中,商业与产品,服饰电商详情页,test,,
HIGH,6,POS-0398,POSITIVE,REVIEW,女选手站上这个舞台，身材管理是基本功，这点你还差得远。,三、属性绑定（陈述性：把特质归于性别）,3.5 外貌与身体标准的性别化,把体型管理设为女选手的准入基本功，与表演能力无关。,争议样本 | 依赖假设或隐藏语境：语境、有分歧,是,中,文艺创作与评论,选秀节目点评,index,,
HIGH,6,POS-0417,POSITIVE,REVIEW,本村倡导妇女勤俭持家、孝敬公婆，评选年度好媳妇十名。,四、规范说教（应然性：以性别提出要求）,4.5 传统角色规训与伦理话语,把家庭伦理义务单向规定给女性，评选机制将其制度化。,争议样本 | 依赖假设或隐藏语境：语境、有分歧,是,中,公文与规章,乡规民约,test,,
HIGH,6,POS-0505,POSITIVE,REVIEW,熟悉她的人都叫她铁娘子，谈判桌上从没让过步。,二、冗余标记（性别在场却不承载信息）,2.2 性别专用与阴性化称谓,以“铁娘子”命名强硬风格，男性同类风格不会被另起称谓。,争议样本 | 处置强度较弱 | 边界子类,是,中,新闻报道,人物特写,dev,,
HIGH,6,POS-0509,POSITIVE,REVIEW,又是那种文艺女青年拍给自己看的片子，节奏太慢。,二、冗余标记（性别在场却不承载信息）,2.2 性别专用与阴性化称谓,以女性专用标签概括创作取向，男性同类作品不会被这样命名。,争议样本 | 处置强度较弱 | 边界子类,是,中,社交与社区,豆瓣短评,dev,,
HIGH,6,POS-0510,POSITIVE,REVIEW,男子雨夜跳桥救人 上岸后悄然离去,二、冗余标记（性别在场却不承载信息）,2.3 标题与导语的冗余标性,见义勇为与性别无关；本条与「女子」型标题构成频率对照。,争议样本 | 处置强度较弱 | 边界子类,是,难,新闻报道,社会新闻标题,index,,
HIGH,6,POS-0511,POSITIVE,REVIEW,女司机倒车撞倒护栏 交警认定负全责,二、冗余标记（性别在场却不承载信息）,2.3 标题与导语的冗余标性,事故责任由交警认定，与性别无关；“女司机”在事故标题中构成固定搭配。,争议样本 | 处置强度较弱 | 边界子类,是,中,新闻报道,交通新闻标题,index,,
HIGH,6,POS-0512,POSITIVE,REVIEW,女环卫工连续三年拾金不昧 街道为其颁发证书,二、冗余标记（性别在场却不承载信息）,2.3 标题与导语的冗余标性,表彰事由与性别无关，正能量标题中的性别标注同样构成冗余。,争议样本 | 处置强度较弱 | 边界子类,是,中,新闻报道,正能量报道标题,index,,
HIGH,6,POS-0518,POSITIVE,REVIEW,首页分为男频与女频两个入口，请选择您的偏好。,二、冗余标记（性别在场却不承载信息）,2.6 商品、空间与内容的性别化归类,以性别切分内容池，会把题材偏好固化为性别属性。,争议样本 | 已知高风险边界子类,是,中,文艺创作与评论,阅读App导航,index,,
HIGH,6,POS-0581,POSITIVE,REVIEW,他常说，这些年多亏了糟糠之妻在背后撑着。,五、关系性不对等（需比较两个对象方成立）,5.5 从夫称谓与旧式谦称,“糟糠”以贫贱时的粗劣饮食代指妻子，含贬抑与恩赐意味。,争议样本 | 依赖假设或隐藏语境：语境、有分歧,是,中,文艺创作与评论,回忆散文,dev,,
HIGH,6,POS-0594,POSITIVE,MOVE_TO_NEGATIVE,男女双方须到场签署，男女双方各执一份。,六、以性别设限与划界,6.1 二元穷举式称呼与并称,协议模板以性别指称当事人，而协议关系并不依赖性别。,已知高风险边界子类 | 可被理解为具体事实或具体对象 | 多触发点,否,中,法律与司法,调解协议模板,test,,
HIGH,6,POS-0597,POSITIVE,DELETE_OR_SPLIT,"greeting = ""尊敬的{name}他/她，您的申请已受理""",六、以性别设限与划界,6.1 二元穷举式称呼与并称,模板中以“他/她”并列，既是二元穷举，在此处还语法冗余。,已知高风险边界子类 | 同条混合多个现象或结构化片段,否,中,工程与技术,文案模板,test,,
HIGH,6,POS-0601,POSITIVE,REVIEW,Q1 您的性别：○男 ○女（必答，不可跳过）,六、以性别设限与划界,6.3 表单、字段与选项的强制二元,问卷人口学变量强制二元且不可跳过，会迫使部分受访者填入不实信息。,争议样本 | 依赖假设或隐藏语境：取决于 | 边界子类,是,中,学术与调研,问卷人口学题,index,,
HIGH,6,POS-0608,POSITIVE,REVIEW,地下二层设女性车厢直达电梯与粉色停车位，男士请走东侧通道。,六、以性别设限与划界,6.6 空间、设施与分组的非必要划分,以性别切分停车与通行路径，安全考量未说明时属非必要划分。,争议样本 | 依赖假设或隐藏语境：有分歧 | 边界子类,是,中,商业与产品,商场导视,index,,
HIGH,6,POS-0659,POSITIVE,REVIEW,这位女工程师用了七年时间攻下高温合金的疲劳难题，业内评价她比男同行还拼，是名副其实的巾帼不让须眉。,七、贬损与物化（词项自带贬抑）,7.4 以某一性别为标准的评价,性别前缀叠加两处以男性为标尺的褒扬，三个触发点指向同一预设。,争议样本 | 处置强度较弱 | 多触发点,是,难,新闻报道,人物通讯,index,,
HIGH,6,POS-0676,POSITIVE,REVIEW,才女的私房书单,二、冗余标记（性别在场却不承载信息）,2.2 性别专用与阴性化称谓,女性专用称谓，男性作者不会被冠以对应标签。,争议样本 | 处置强度较弱 | 边界子类,是,易,文艺创作与评论,图书腰封,dev,,
HIGH,6,POS-0687,POSITIVE,REVIEW,女硕士摆摊卖煎饼？？月入两万！！,二、冗余标记（性别在场却不承载信息）,2.3 标题与导语的冗余标性,学历与创业选择的反差是新闻点，性别标注不承载信息。,争议样本 | 处置强度较弱 | 边界子类,是,中,新闻报道,自媒体标题,test,,
HIGH,6,POS-0702,POSITIVE,REVIEW,這位女強人把公司從零做到上市，佩服。,二、冗余标记（性别在场却不承载信息）,2.2 性别专用与阴性化称谓,女性专用称谓，男性同等经历不会被如此命名。,争议样本 | 处置强度较弱 | 边界子类,是,中,社交与社区,繁体社群,test,,
HIGH,6,POS-0712,POSITIVE,REVIEW,家族史：父亲既往病史____ 母亲既往病史____（两栏必填）,六、以性别设限与划界,6.2 家庭结构的窄化预设,家族史确需血缘信息，但以父母二栏为唯一结构，收养、单亲与失联情形无法填写。,争议样本 | 已知高风险边界子类,是,难,医疗健康,病历模板字段,dev,,
HIGH,6,POS-0742,POSITIVE,REVIEW,诸位先生远道而来，今晚略备薄酒，权当接风。,一、缺省预设（信息缺位处默认为男性）,1.5 男性词统称混合群体,以“先生”统称全体宾客，实际排除了在座其他人。,争议样本 | 边界子类 | 可被理解为具体事实或具体对象,是,中,文艺创作与评论,宴请致辞,index,,
