编号,来源版本,L1类别,L2子类,语体大类,语体,噪声类型,文本长度,输入句子,期望输出,期望标签,性别触发词,保留理由,常见误改（负例陷阱）,难度,是否争议,备注,处置,切分,处置理由
NEG-0019,v2,一、指称已知性别的具体个人,1.3 血亲与姻亲称谓,社交与社区,论坛提问,无,,婆婆刚做完膝关节置换，想问下术后康复一般要多久。,,无需改写,婆婆,姻亲称谓，指称具体某人,家人刚做完膝关节置换,中,否,,主集,index,
NEG-0020,v2,一、指称已知性别的具体个人,1.3 血亲与姻亲称谓,法律与司法,法律文书,无,,本人名下位于朝阳区的房产，由长女李某某单独继承。,,无需改写,长女,继承法律关系须精确,由子女李某某单独继承,易,否,,主集,index,
NEG-0021,v2,一、指称已知性别的具体个人,1.3 血亲与姻亲称谓,口语与私人交流,日常口语,无,,我外婆是苏州人，她做的酱鸭我到现在没吃到过第二家。,,无需改写,外婆/她,母系祖辈的特定称谓,我祖辈是苏州人,中,否,“外婆”与“奶奶”在汉语中不可互换,主集,test,
NEG-0022,v2,一、指称已知性别的具体个人,1.4 伴侣与恋爱关系,口语与私人交流,即时通讯,无,,我女朋友说她那边开完会就过来，你们先点菜。,,无需改写,女朋友/她,当事人对自身关系的描述,我对象说TA那边开完会就过来,难,否,高频误改样本,主集,test,
NEG-0023,v2,一、指称已知性别的具体个人,1.4 伴侣与恋爱关系,社交与社区,论坛帖子,无,,和男朋友异地三年了，最近他工作调动，终于能到一个城市。,,无需改写,男朋友/他,同上,和伴侣异地三年了，最近TA工作调动,难,否,,主集,test,
NEG-0024,v2,一、指称已知性别的具体个人,1.4 伴侣与恋爱关系,公文与规章,申请材料,无,,申请人配偶（妻子）李某某，现于本市某中学任教。,,无需改写,妻子,随迁材料中的亲属关系认定,申请人配偶李某某，现于本市某中学任教,中,否,,主集,test,
NEG-0025,v2,一、指称已知性别的具体个人,1.4 伴侣与恋爱关系,新闻报道,新闻报道,无,,遇难者的未婚妻在事故现场等了整整一夜。,,无需改写,未婚妻,特定关系的既有称谓,遇难者的未婚伴侣在事故现场等了整整一夜,中,否,,主集,test,
NEG-0026,v2,一、指称已知性别的具体个人,1.4 伴侣与恋爱关系,口语与私人交流,日常口语,无,,我前夫每周三接孩子，这是当初协议里写好的。,,无需改写,前夫,离婚后抚养安排的事实,我前任配偶每周三接孩子,中,否,,主集,test,
NEG-0027,v2,一、指称已知性别的具体个人,1.4 伴侣与恋爱关系,学术与调研,访谈/播客,无,,我和我太太是大学同学，我追了她两年才追上。,,无需改写,太太/她,当事人自述，属自我表达范畴,我和我伴侣是大学同学,难,否,兼涉第六类自称,主集,test,
NEG-0028,v2,一、指称已知性别的具体个人,1.5 社会角色中的具体个人,口语与私人交流,日常口语,无,,我们主治大夫是位女医生，姓吴，特别有耐心。,,无需改写,女医生,介绍具体某人，非给职业加性别限定,我们主治大夫姓吴，特别有耐心,难,否,与“女司机技术不行”构成最小对立对,主集,index,
NEG-0029,v2,一、指称已知性别的具体个人,1.5 社会角色中的具体个人,新闻报道,新闻报道,无,,本案唯一的目击者是一位七十岁的老太太，她的证词成为关键。,,无需改写,老太太/她,案件报道中对具体证人的描述,本案唯一的目击者是一位七十岁的老人,中,否,,主集,test,
NEG-0030,v2,一、指称已知性别的具体个人,1.5 社会角色中的具体个人,公文与规章,询问笔录,无,,被害人系女性，22 岁，案发时独自在出租屋内。,,无需改写,女性,刑事案件中性别是案情要素,被害人 22 岁，案发时独自在出租屋内,易,否,,主集,test,
NEG-0031,v2,一、指称已知性别的具体个人,1.5 社会角色中的具体个人,新闻报道,新闻报道,无,,本次机组由机长赵某某带队，她也是该航司首位执飞该机型的女性飞行员。,,无需改写,女性飞行员,该纪录本身就是新闻点，删去则报道失去主题,她也是该航司首位执飞该机型的飞行员,难,否,脱离该语境的“女飞行员”则应改写,主集,index,
NEG-0032,v2,一、指称已知性别的具体个人,1.5 社会角色中的具体个人,新闻报道,特写报道,无,,她是这家诊所唯一的儿科医生，附近几个村的孩子都找她看。,,无需改写,她,人物特写中的主角指代,这位是诊所唯一的儿科医生,中,否,,主集,dev,
NEG-0033,v2,一、指称已知性别的具体个人,1.5 社会角色中的具体个人,口语与私人交流,日常口语,无,,教我们数学的是个男老师，姓周，讲课特别快。,,无需改写,男老师,介绍具体任课教师,教我们数学的老师姓周，讲课特别快,难,否,与 1.5 首条对称，防止模型只对“女X”敏感,主集,test,
NEG-0034,v2,二、生理与医学必需,2.1 生殖与生育,医疗健康,医嘱,无,,孕 32 周，胎位为臀先露，建议两周后复查以决定分娩方式。,,无需改写,孕/胎位,产科临床记录,32 周复查，建议两周后再次评估,易,否,,主集,test,
NEG-0035,v2,二、生理与医学必需,2.1 生殖与生育,医疗健康,健康科普,无,,叶酸建议在备孕前三个月开始补充，男方也可适量补充锌和硒。,,无需改写,备孕/男方,备孕指导中双方分工不同,备孕前三个月开始补充叶酸，双方均可适量补充,中,否,,主集,index,
NEG-0036,v2,二、生理与医学必需,2.1 生殖与生育,医疗健康,药品说明书,无,,妊娠期妇女及哺乳期妇女禁用本品。,,无需改写,妊娠期/哺乳期妇女,说明书法定表述，涉及用药安全,特定生理期人群禁用本品,易,否,同时受第五类保护,主集,index,
NEG-0037,v2,二、生理与医学必需,2.1 生殖与生育,社交与社区,论坛提问,无,,剖腹产第三天，刀口一咳嗽就疼，有什么办法能缓解吗？,,无需改写,剖腹产,口语中的术式名称,术后第三天，伤口一咳嗽就疼,易,否,,主集,index,
NEG-0038,v2,二、生理与医学必需,2.1 生殖与生育,学术与调研,学术论文,无,,本组 87 例不孕不育患者中，男方因素占 31.0%，女方因素占 42.5%。,,无需改写,男方/女方,病因构成分析，删去即无结论,本组 87 例患者中，各类因素占比不同,易,否,,主集,dev,
NEG-0039,v2,二、生理与医学必需,2.1 生殖与生育,口语与私人交流,日常口语,无,,我媳妇预产期在下个月十号，我这几天心里一直悬着。,,无需改写,媳妇/预产期,当事人对自家情况的叙述,我伴侣预产期在下个月十号,中,否,,主集,index,
NEG-0040,v2,二、生理与医学必需,2.2 生理周期与内分泌,医疗健康,病历,无,,主诉：停经 45 天，尿妊娠试验阳性。,,无需改写,停经/妊娠,主诉原文与鉴别诊断路径,主诉：月经异常 45 天，相关检查阳性,易,否,,主集,index,
NEG-0041,v2,二、生理与医学必需,2.2 生理周期与内分泌,社交与社区,论坛帖子,无,,痛经十几年了，第一天基本下不了床，前阵子查出来是子宫内膜异位症。,,无需改写,痛经/子宫内膜异位症,症状与疾病名称,腹痛十几年了，查出来是相关疾病,易,否,,主集,dev,
NEG-0042,v2,二、生理与医学必需,2.2 生理周期与内分泌,医疗健康,健康科普,无,,更年期潮热多在夜间发作，与雌激素水平下降直接相关。,,无需改写,更年期/雌激素,生理阶段与机制说明,该阶段潮热多在夜间发作,中,否,,主集,test,
NEG-0043,v2,二、生理与医学必需,2.2 生理周期与内分泌,工程与技术,检验报告,无,,血清睾酮 1.8 nmol/L，低于男性参考范围下限，建议复查。,,无需改写,睾酮/男性参考范围,检验参考区间按生理性别分层,血清睾酮 1.8 nmol/L，低于参考范围下限,中,否,,主集,index,
NEG-0044,v2,二、生理与医学必需,2.2 生理周期与内分泌,学术与调研,教材,无,,近几十年女性初潮年龄呈提前趋势，与营养状况改善相关。,,无需改写,女性初潮,流行病学结论，删去性别则命题不成立,近几十年青春期发育呈提前趋势,中,否,,主集,test,
NEG-0045,v2,二、生理与医学必需,2.3 性别特异性器官与疾病,医疗健康,医嘱,无,,PSA 6.7 ng/mL，建议至泌尿外科门诊进一步评估前列腺情况。,,无需改写,前列腺,解剖结构与检查项目,建议至泌尿外科门诊进一步评估,易,否,,主集,index,
NEG-0046,v2,二、生理与医学必需,2.3 性别特异性器官与疾病,医疗健康,健康科普,无,,宫颈癌是目前唯一病因明确、可通过疫苗预防的恶性肿瘤。,,无需改写,宫颈癌,疾病名称与公共卫生事实,该癌症是目前唯一可通过疫苗预防的恶性肿瘤,易,否,,主集,index,
NEG-0047,v2,二、生理与医学必需,2.3 性别特异性器官与疾病,学术与调研,学术论文,无,,男性乳腺癌约占全部乳腺癌病例的 1%，确诊时分期普遍偏晚。,,无需改写,男性,流行病学事实，且句子本身在破除“乳腺癌只发生于女性”的误解,乳腺癌病例中有一部分确诊时分期偏晚,难,否,模型常误判为“给疾病加性别标记”,主集,test,
NEG-0048,v2,二、生理与医学必需,2.3 性别特异性器官与疾病,口语与私人交流,日常口语,无,,我爸查出前列腺增生，医生说先吃药观察，不着急做手术。,,无需改写,我爸/前列腺,家属转述的诊断,我家人查出相关问题,易,否,,主集,test,
NEG-0049,v2,二、生理与医学必需,2.3 性别特异性器官与疾病,医疗健康,临床指南,无,,建议 25 至 64 岁女性每三年进行一次宫颈细胞学筛查。,,无需改写,女性/宫颈,筛查建议的目标人群,建议 25 至 64 岁人群每三年进行一次宫颈细胞学筛查,中,是,部分指南已改为“有宫颈者”以兼顾跨性别人群,主集,index,
NEG-0050,v2,二、生理与医学必需,2.4 药理与诊疗差异,医疗健康,药品说明书,无,,本品在女性受试者中的血药浓度峰值较男性高约 20%，必要时减量。,,无需改写,女性/男性,药代动力学差异，是用药安全依据,本品在不同人群中的血药浓度存在差异,易,否,,主集,index,
NEG-0051,v2,二、生理与医学必需,2.4 药理与诊疗差异,工程与技术,检验报告,无,,血红蛋白 132 g/L（参考区间：男 130–175，女 115–150）。,,无需改写,男/女,检验参考区间的标准分层,血红蛋白 132 g/L（参考区间 115–175）,易,否,,主集,test,
NEG-0052,v2,二、生理与医学必需,2.4 药理与诊疗差异,医疗健康,医嘱,无,,该造影剂哺乳期使用后建议暂停哺乳 24 小时。,,无需改写,哺乳期,用药禁忌与注意事项,该造影剂使用后建议暂停相关行为 24 小时,易,否,,主集,index,
NEG-0053,v2,二、生理与医学必需,2.4 药理与诊疗差异,公文与规章,研究方案,无,,受试者入组时按性别 1:1 分层随机，以保证组间可比。,,无需改写,性别分层随机,试验设计的方法学要求,受试者入组时采用分层随机,易,否,,主集,dev,
NEG-0054,v2,二、生理与医学必需,2.4 药理与诊疗差异,医疗健康,健康科普,无,,同样一杯酒，女性的血液酒精浓度通常高于男性，与体脂比例和代谢酶活性有关。,,无需改写,女性/男性,生理机制说明,同样一杯酒，不同人的血液酒精浓度存在差异,中,否,,主集,test,
NEG-0055,v2,二、生理与医学必需,2.5 性别确认医疗与性健康,医疗健康,病历,无,,患者接受性别确认激素治疗已 14 个月，本次复查肝功能及血脂。,,无需改写,性别确认激素治疗,治疗方案名称与患者本人的医疗事实,患者接受激素治疗已 14 个月,中,否,,主集,test,
NEG-0057,v2,二、生理与医学必需,2.5 性别确认医疗与性健康,医疗健康,门诊记录,无,,跨性别女性长期使用雌激素者，需定期评估静脉血栓风险。,,无需改写,跨性别女性/雌激素,特定人群的用药监测要求,长期使用相关激素者需定期评估血栓风险,中,否,,主集,dev,
NEG-0058,v2,二、生理与医学必需,2.5 性别确认医疗与性健康,医疗健康,公共卫生,无,,男男性行为人群的 HIV 感染风险显著高于一般人群，建议定期检测。,,无需改写,男男性行为人群,流行病学高危人群界定,部分人群的 HIV 感染风险较高，建议定期检测,中,否,模糊化会削弱公共卫生干预的针对性,主集,index,
NEG-0059,v2,二、生理与医学必需,2.5 性别确认医疗与性健康,医疗健康,科普问答,无,,长效可逆避孕方式包括宫内节育器和皮下埋植剂，适用于暂无生育计划的女性。,,无需改写,宫内节育器/女性,避孕方式的适用人群,长效可逆避孕方式适用于暂无生育计划的人群,中,否,,主集,dev,
NEG-0060,v2,二、生理与医学必需,2.6 鉴定与研究场景,法律与司法,鉴定意见书,无,,根据耻骨联合面形态及骨盆入口指数，推断死者为女性，年龄 30 至 40 岁。,,无需改写,女性,法医学鉴定结论,推断死者年龄为 30 至 40 岁,易,否,,主集,test,
NEG-0061,v2,二、生理与医学必需,2.6 鉴定与研究场景,学术与调研,考古报告,无,,M12 号墓主为男性，随葬品以兵器为主，未见纺织工具。,,无需改写,男性,考古学个体鉴定与随葬品组合分析,M12 号墓主随葬品以兵器为主,易,否,,主集,index,
NEG-0062,v2,二、生理与医学必需,2.6 鉴定与研究场景,学术与调研,学术论文,无,,本研究对 12 万名受试者按性别分层，分别估计吸烟与肺癌的关联强度。,,无需改写,性别分层,研究方法学,本研究对 12 万名受试者进行了分层分析,易,否,,主集,index,
NEG-0063,v2,二、生理与医学必需,2.6 鉴定与研究场景,新闻报道,新闻报道,无,,DNA 比对已确认，遇难的五人中包含两名女性和一名未成年人。,,无需改写,女性,事故通报中的遇难者构成,DNA 比对已确认遇难者共五人,易,否,,主集,dev,
NEG-0064,v2,二、生理与医学必需,2.6 鉴定与研究场景,学术与调研,教材,无,,体质人类学常用颅骨眉弓隆起与乳突大小辅助判断个体性别。,,无需改写,个体性别,学科方法介绍,体质人类学常用颅骨特征辅助个体识别,易,否,,主集,index,
NEG-0065,v2,三、制度性与统计性区分,3.1 法律与行政身份,公文与规章,表单,无,,请依次填写姓名、性别、出生日期及身份证号码。,,无需改写,性别,法定登记项目,请依次填写姓名、出生日期及身份证号码,易,否,,主集,index,
NEG-0066,v2,三、制度性与统计性区分,3.1 法律与行政身份,法律与司法,判决书,无,,原告与被告于 2015 年登记结婚，婚生女现年七岁，判决随母生活。,,无需改写,婚生女/母,抚养权判决的事实与主文,婚生子女现年七岁，判决随一方生活,易,否,,主集,test,
NEG-0067,v2,三、制度性与统计性区分,3.1 法律与行政身份,公文与规章,内部通知,无,,该同事已完成法律性别变更登记，请各业务系统于本周内同步更新。,,无需改写,法律性别变更,行政程序名称，且该表述本身即是包容做法,该同事已完成信息变更登记,中,否,,主集,index,
NEG-0068,v2,三、制度性与统计性区分,3.1 法律与行政身份,公文与规章,出入境须知,无,,护照资料页包含持照人姓名、性别、国籍、出生日期及签发机关。,,无需改写,性别,证件规范内容,护照资料页包含持照人基本信息及签发机关,易,否,,主集,dev,
NEG-0069,v2,三、制度性与统计性区分,3.1 法律与行政身份,公文与规章,户籍档案,无,,户主之妻王某某，1978 年生，务农，1996 年迁入本户。,,无需改写,之妻,户籍关系登记,户主之配偶王某某，1978 年生,中,否,,主集,index,
NEG-0070,v2,三、制度性与统计性区分,3.1 法律与行政身份,公文与规章,法律咨询,无,,非婚生子女与婚生子女享有同等权利，生母生父均负有抚养义务。,,无需改写,生母/生父,法定义务主体的完整表述,父母均负有抚养义务,中,否,,主集,index,
NEG-0071,v2,三、制度性与统计性区分,3.2 劳动与社会保障,公文与规章,规章制度,无,,女职工在哺乳期内，用人单位不得延长其劳动时间或者安排夜班劳动。,,无需改写,女职工/哺乳期,劳动保护条款的法定适用对象,职工在哺乳期内不得被安排夜班劳动,中,否,,主集,index,
NEG-0072,v2,三、制度性与统计性区分,3.2 劳动与社会保障,公文与规章,内部通知,无,,自本月起，男职工陪产假由 10 天延长至 15 天，休假期间工资照发。,,无需改写,男职工/陪产假,现行假期制度的适用对象,自本月起，陪产假由 10 天延长至 15 天,中,是,部分单位已改为性别中立的育儿假,主集,index,
NEG-0073,v2,三、制度性与统计性区分,3.2 劳动与社会保障,公文与规章,客服话术,无,,生育津贴申领需提供出生医学证明和女方的连续参保记录。,,无需改写,女方,经办规则中的材料要求,生育津贴申领需提供出生医学证明和参保记录,中,否,,主集,dev,
NEG-0074,v2,三、制度性与统计性区分,3.2 劳动与社会保障,新闻报道,新闻报道,无,,延迟退休方案对女性干部与女性工人的起算年龄作了区分。,,无需改写,女性干部/女性工人,现行制度的准确转述,延迟退休方案对不同岗位的起算年龄作了区分,中,否,,主集,index,
NEG-0075,v2,三、制度性与统计性区分,3.2 劳动与社会保障,公文与规章,HR 通知,无,,孕期同事可申请调整为不含夜班的排班，请提前将产检证明提交至人事。,,无需改写,孕期/产检,内部政策的适用条件,有需要的同事可申请调整排班,中,否,,主集,index,
NEG-0076,v2,三、制度性与统计性区分,3.3 体育竞技分级,新闻报道,赛事播报,无,,女子 100 米栏半决赛将于今晚八点在主体育场进行。,,无需改写,女子,竞赛项目正式分级名称,100 米栏半决赛将于今晚八点进行,易,否,,主集,test,
NEG-0078,v2,三、制度性与统计性区分,3.3 体育竞技分级,公文与规章,竞赛规程,无,,本项目按体重分级，男子组设 8 个级别，女子组设 7 个级别。,,无需改写,男子组/女子组,规程条文,本项目按体重分级，共设 15 个级别,易,否,,主集,index,
NEG-0079,v2,三、制度性与统计性区分,3.3 体育竞技分级,新闻报道,新闻报道,无,,国际泳联更新了跨性别运动员参加女子组比赛的资格条款。,,无需改写,跨性别/女子组,规则转述,国际泳联更新了运动员参赛资格条款,中,是,该规则本身在各组织间存在分歧，此处仅作转述,主集,test,
NEG-0080,v2,三、制度性与统计性区分,3.3 体育竞技分级,商业与产品,资料库,无,,该项目世界纪录男女分列，女子组纪录已保持 14 年。,,无需改写,男女分列/女子组,纪录统计口径,该项目世界纪录已保持 14 年,易,否,,主集,test,
NEG-0081,v2,三、制度性与统计性区分,3.4 空间与设施,公文与规章,现场指引,无,,女卫生间在走廊尽头右转，男卫生间在电梯口旁边。,,无需改写,女/男卫生间,导视信息，改写会导致指引失效,卫生间在走廊尽头和电梯口旁边,易,是,设施划分与跨性别者权益的关系存在持续争论,主集,dev,
NEG-0082,v2,三、制度性与统计性区分,3.4 空间与设施,新闻报道,场馆公告,无,,更衣室按男女分设，六岁以下儿童可随同任一方家长入内。,,无需改写,男女分设,场馆管理规定,更衣室分区设置，六岁以下儿童可随同家长入内,中,是,,主集,dev,
NEG-0083,v2,三、制度性与统计性区分,3.4 空间与设施,公文与规章,机场信息,无,,母婴室位于 T2 航站楼四层，提供哺乳间、护理台和热水。,,无需改写,母婴室/哺乳间,设施既有名称与功能说明,育婴室位于 T2 航站楼四层,中,是,部分机场已更名，但改写既有标识会造成指引错误,主集,index,
NEG-0084,v2,三、制度性与统计性区分,3.4 空间与设施,公文与规章,管理规定,无,,女性在押人员的看管和人身检查，应当由女性民警实施。,,无需改写,女性在押人员/女性民警,监所管理的法定要求,在押人员的看管和人身检查由民警实施,易,否,,主集,index,
NEG-0085,v2,三、制度性与统计性区分,3.4 空间与设施,公文与规章,学校简介,无,,本校为女子中学，创办于 1904 年，是本市历史最悠久的中学之一。,,无需改写,女子中学,学校性质与专名,本校创办于 1904 年，是本市历史最悠久的中学之一,易,否,,主集,dev,
NEG-0086,v2,三、制度性与统计性区分,3.5 统计、监测与研究,学术与调研,统计公报,无,,年末全国人口中，男性 72034 万人，女性 68935 万人。,,无需改写,男性/女性,人口统计基础数据,年末全国人口共 140969 万人,易,否,,主集,index,
NEG-0087,v2,三、制度性与统计性区分,3.5 统计、监测与研究,学术与调研,行业报告,无,,该行业女性从业者占比 61%，但管理层中女性仅占 23%。,,无需改写,女性,职业性别隔离的量化描述，是报告论点所在,该行业从业者与管理层的构成存在落差,难,否,删去性别，整段分析即失去对象,主集,index,
NEG-0088,v2,三、制度性与统计性区分,3.5 统计、监测与研究,学术与调研,学术论文,无,,在控制年龄与受教育程度后，性别对晋升概率仍具有显著影响。,,无需改写,性别,回归分析中的自变量,在控制年龄与受教育程度后，个体特征仍具有显著影响,中,否,,主集,dev,
NEG-0089,v2,三、制度性与统计性区分,3.5 统计、监测与研究,医疗健康,公共卫生报告,无,,我国成年男性吸烟率约为女性的 20 倍。,,无需改写,男性/女性,健康行为的性别差异数据,我国成年人吸烟率存在群体差异,易,否,,主集,index,
NEG-0090,v2,三、制度性与统计性区分,3.5 统计、监测与研究,学术与调研,教育统计,无,,近十年普通高校在校生中女生比例持续超过 50%。,,无需改写,女生比例,教育统计指标,近十年普通高校在校生结构持续变化,易,否,,主集,index,
NEG-0091,v2,三、制度性与统计性区分,3.5 统计、监测与研究,学术与调研,调查方法,无,,本次调查回收有效问卷 1200 份，男性 560 份、女性 632 份、其他 8 份。,,无需改写,男性/女性/其他,样本构成披露，且选项已含非二元项,本次调查回收有效问卷 1200 份,中,否,可作为“强制二元”误判的反例,主集,dev,
NEG-0092,v2,三、制度性与统计性区分,3.6 平权、保护与专项服务,公文与规章,监管要求,无,,上市公司应在年度报告中披露董事会成员的性别构成情况。,,无需改写,性别构成,信息披露的法定项目,上市公司应披露董事会成员的构成情况,中,否,,主集,dev,
NEG-0093,v2,三、制度性与统计性区分,3.6 平权、保护与专项服务,公文与规章,公益宣传,无,,12338 妇女维权公益服务热线已实现全国统一接入。,,无需改写,妇女维权,服务名称与服务对象,公益维权服务热线已实现全国统一接入,易,否,,主集,test,
NEG-0094,v2,三、制度性与统计性区分,3.6 平权、保护与专项服务,新闻报道,项目公告,无,,该计划每年资助 20 名 45 岁以下女性科研人员开展独立研究。,,无需改写,女性科研人员,资助资格条件,该计划每年资助 20 名 45 岁以下科研人员,难,否,此处性别限定即准入条件，与冗余标记性质不同,主集,test,
NEG-0095,v2,三、制度性与统计性区分,3.6 平权、保护与专项服务,公文与规章,机构通报,无,,本机构今年新设男性受害人临时安置床位 6 张。,,无需改写,男性受害人,针对被忽视群体的服务扩展,本机构今年新设临时安置床位 6 张,难,否,,主集,dev,
NEG-0096,v2,三、制度性与统计性区分,3.6 平权、保护与专项服务,新闻报道,招聘公告,无,,为改善团队性别结构，本轮校招将定向增加女性工程师岗位名额。,,无需改写,女性工程师,积极行动措施的目标说明,本轮校招将增加工程师岗位名额,中,是,定向措施的正当性与边界存在不同主张,主集,index,
NEG-0098,v2,三、制度性与统计性区分,3.7 宗教与文化传统实践,新闻报道,新闻报道,无,,该教派于 1994 年起允许女性担任神职，此前已争论近三十年。,,无需改写,女性,制度变迁的事实报道,该教派于 1994 年放宽了神职任职资格,中,否,,主集,index,
NEG-0099,v2,三、制度性与统计性区分,3.7 宗教与文化传统实践,学术与调研,人类学记录,无,,该族群的成年礼分男女两套仪式，内容与时长均不相同。,,无需改写,男女两套仪式,田野观察记录,该族群的成年礼分为两套仪式,易,否,,主集,dev,
NEG-0100,v2,三、制度性与统计性区分,3.7 宗教与文化传统实践,商业与产品,服饰说明,无,,这套礼服为女式，男式在纹样密度和下摆长度上有明显区别。,,无需改写,女式/男式,形制分类的既有名称,这套礼服在纹样密度和下摆长度上有多种形制,中,否,,主集,index,
NEG-0101,v2,三、制度性与统计性区分,3.7 宗教与文化传统实践,学术与调研,文物介绍,无,,旧时祠堂议事设男女分席，两侧廊庑至今保留着当时的格局。,,无需改写,男女分席,历史空间制度的说明,旧时祠堂议事分席而坐,易,否,,主集,dev,
NEG-0102,v2,四、专有名词与固定名称,4.1 法律法规,新闻报道,新闻报道,无,,《妇女权益保障法》修订后新增了对职场性骚扰的防治条款。,,无需改写,妇女权益保障法,法律正式名称,《权益保障法》修订后新增了相关条款,易,否,,主集,test,
NEG-0103,v2,四、专有名词与固定名称,4.1 法律法规,公文与规章,合规文件,无,,《女职工劳动保护特别规定》附录列明了女职工禁忌从事的劳动范围。,,无需改写,女职工,行政法规名称及其条文内容,《职工劳动保护特别规定》列明了禁忌劳动范围,易,否,,主集,index,
