编号,来源版本,L1类别,L2子类,载体形式,指向性别,叠加类别,语体大类,语体,噪声类型,文本长度,输入句子,参考改写,期望标签,问题触发词,问题说明,可接受的其他改法,欠改陷阱（改了但没改到位）,过改陷阱（矫枉过正）,必须保留的信息,严重度,难度,是否争议,备注,处置,切分,处置理由
POS-0011,v3,一、缺省预设（信息缺位处默认为男性）,1.2 领属与反身形式,常规句,不特指,,公文与规章,行政审批须知,无,中,申请人须对他所提交材料的真实性承担法律责任。,申请人须对所提交材料的真实性承担法律责任。,需改写,他所,公文体中领属代词可直接删除。,“须对本人提交材料的真实性……”,改为“他/她所提交”,把“法律责任”弱化为“责任”，丢失法律性质,材料真实性、法律责任,应改,易,否,,主集,index,
POS-0012,v3,一、缺省预设（信息缺位处默认为男性）,1.2 领属与反身形式,常规句,不特指,,口语与私人交流,毕业致辞,无,中,每个人都要为他的选择负责，这话我送给今天在座的同学们。,每个人都要为自己的选择负责，这话我送给今天在座的同学们。,需改写,他的,“他的”改“自己的”，语义完全不变。,“为自己做的决定负责”,改成“他/她的选择”,把整句改成书面语，破坏致辞口吻,为选择负责的主旨、致辞口吻,应改,易,否,,主集,index,
POS-0013,v3,一、缺省预设（信息缺位处默认为男性）,1.2 领属与反身形式,常规句,不特指,,商业与产品,用户协议,无,中,用户应妥善保管他的账号密码，因保管不善造成的损失由其自行承担。,用户应妥善保管本人账号密码，因保管不善造成的损失由其自行承担。,需改写,他的,协议文本中领属代词指向不特定用户。,“应妥善保管账号密码”，直接省略,改成“他/她的账号密码”,把责任条款删掉，丢失协议效力,妥善保管义务、损失自担的责任划分,应改,易,否,,主集,dev,
POS-0014,v3,一、缺省预设（信息缺位处默认为男性）,1.2 领属与反身形式,常规句,不特指,,学术与调研,论文方法部分,无,中,每位被试需在实验前签署他自己的知情同意书。,每位被试需在实验前签署本人知情同意书。,需改写,他自己,反身形式冗余，学术文体宜用“本人”。,“被试须于实验前签署知情同意书”,改成“他/她自己的”,把知情同意这一伦理程序删掉,实验前签署、知情同意书,应改,易,否,,主集,test,
POS-0015,v3,一、缺省预设（信息缺位处默认为男性）,1.2 领属与反身形式,常规句,不特指,,口语与私人交流,家长会发言,无,中,每个孩子都有他自己的节奏，家长别太焦虑。,每个孩子都有自己的节奏，家长别太焦虑。,需改写,他自己,删去一字即可，最小改动样本。,“孩子各有各的节奏”,改成“他或她自己的”，破坏口语流畅,把“别太焦虑”删掉，丢失发言意图,孩子节奏各异、劝家长别焦虑,应改,易,否,,主集,test,
POS-0016,v3,一、缺省预设（信息缺位处默认为男性）,1.3 职业角色的默认代词,常规句,不特指,,商业与产品,电话客服话术,无,中,您稍等，我让负责这块的工程师看一下，他马上给您回电话。,您稍等，我让负责这块的工程师看一下，稍后给您回电话。,需改写,工程师／他,该工程师是谁尚未确定，默认男性属职业性别预设。,“让工程师看一下，会尽快回电”,保留“他”，只在后面补一句说明,把“马上／稍后”删掉，丢失时效承诺,回电承诺、时效表述、客服礼貌语气,应改,中,否,,主集,index,
POS-0017,v3,一、缺省预设（信息缺位处默认为男性）,1.3 职业角色的默认代词,常规句,不特指,,医疗健康,门诊导医,无,中,护士待会儿过来，她会先给您量个血压再登记。,护士待会儿过来，会先给您量个血压再登记。,需改写,护士／她,默认护士为女性同属职业预设，方向相反、性质相同。,“护士稍后会来量血压并登记”,只把“她”改成“他”,把“量血压”“登记”合并简化，丢失流程,量血压、登记两个步骤的先后,应改,中,否,反向预设样本，与 2.2 对照,主集,index,
POS-0018,v3,一、缺省预设（信息缺位处默认为男性）,1.3 职业角色的默认代词,常规句,不特指,,公文与规章,新生入学指引,无,中,新生遇到问题可以找辅导员，他会帮你对接宿管和教务。,新生遇到问题可以找辅导员，辅导员会帮你对接宿管和教务。,需改写,辅导员／他,辅导员尚未指明具体人员，代词带预设。,“找辅导员，可协助对接宿管和教务”,改为“他／她会帮你”,把“宿管和教务”并成“相关部门”，丢失指向,对接宿管、对接教务,应改,中,否,,主集,index,
POS-0019,v3,一、缺省预设（信息缺位处默认为男性）,1.3 职业角色的默认代词,常规句,不特指,,商业与产品,销售流程说明,缩略,中,客户经理会跟进您的需求，他通常2h内回复。,客户经理会跟进您的需求，通常2h内回复。,需改写,客户经理／他,泛指岗位，代词冗余。,“客户经理跟进后通常2h内回复”,改成“他/她通常2h内回复”,把“2h”改写为“两小时”，改变原文缩略风格,2h 时效承诺与缩略写法,应改,中,否,保留缩略噪声,主集,dev,
POS-0021,v3,一、缺省预设（信息缺位处默认为男性）,1.3 职业角色的默认代词,常规句,不特指,,公文与规章,校园通知,无,中,心理老师每周三下午坐班，她会为同学们提供一对一咨询。,心理老师每周三下午坐班，为同学们提供一对一咨询。,需改写,心理老师／她,默认心理教师为女性，与默认工程师为男性同性质。,“每周三下午由心理老师提供一对一咨询”,只把“她”改成“他”,把周三下午这一时间删掉，丢失通知要素,每周三下午、一对一咨询,应改,中,否,反向预设,主集,index,
POS-0022,v3,一、缺省预设（信息缺位处默认为男性）,1.3 职业角色的默认代词,常规句,不特指,,商业与产品,装修合同附件,无,中,项目经理确认水电点位后，他将安排工人进场。,项目经理确认水电点位后，将安排工人进场。,需改写,项目经理／他,岗位泛指，代词冗余。,“确认水电点位后由项目经理安排进场”,改成“他/她将安排”,把水电点位这一节点删掉，丢失工序,确认水电点位、安排工人进场的先后,应改,中,否,,主集,test,
POS-0023,v3,一、缺省预设（信息缺位处默认为男性）,1.4 家庭角色的默认指派,常规句,指向女性,,口语与私人交流,家校微信群,emoji,中,请各位妈妈明天下午三点前到校门口接孩子，不要迟到🙏,请各位家长明天下午三点前到校门口接孩子，不要迟到🙏,需改写,各位妈妈,接送不专属母亲，以妈妈代指全体家长排除其他监护人。,“各位家长／各位监护人”,改成“各位爸爸妈妈”，仍排除其他监护人,删掉 emoji，改变群消息语气,三点前、校门口、不要迟到、emoji,应改,易,否,保留 emoji 噪声,主集,dev,
POS-0024,v3,一、缺省预设（信息缺位处默认为男性）,1.4 家庭角色的默认指派,结构化文本,双向,,公文与规章,校园回执单,结构化文本,中,【回执】活动报名表下方请爸爸或妈妈签字确认，交由班主任收齐。,【回执】活动报名表下方请监护人签字确认，交由班主任收齐。,需改写,爸爸或妈妈,并非所有学生由父母双方抚养，应使用监护人。,“请家长签字确认”,改成“请父母双方签字”，反而更严格,去掉【回执】标记，破坏结构化格式,【回执】标记、签字确认、交班主任收齐,应改,易,否,,主集,test,
POS-0025,v3,一、缺省预设（信息缺位处默认为男性）,1.4 家庭角色的默认指派,常规句,指向女性,,商业与产品,母婴产品文案,无,中,宝宝辅食添加，妈妈们一定要注意这三点。,宝宝辅食添加，家长一定要注意这三点。,需改写,妈妈们,把育儿责任默认给母亲，是母婴品类的高频写法。,“照护者需注意这三点”,改成“宝妈们”，问题未变,把“这三点”删掉，丢失下文承接,辅食添加主题、三点的承接,应改,中,否,,主集,test,
POS-0026,v3,一、缺省预设（信息缺位处默认为男性）,1.4 家庭角色的默认指派,常规句,双向,1.4 ＋ 3.3,公文与规章,家长会通知,无,中,本次家长会请孩子妈妈务必到场，父亲代替的须提前报备。,本次家长会请监护人务必到场，如需临时更换出席人请提前报备。,需改写,孩子妈妈／父亲代替,把母亲设为默认出席人、父亲设为例外，双重预设。,“请一位监护人到场，更换请报备”,仅把“妈妈”改“家长”，保留“父亲代替须报备”,取消报备要求，丢失管理规则,务必到场、更换须提前报备,必改,中,否,隐含分工预设，兼涉 3.3,主集,dev,
POS-0027,v3,一、缺省预设（信息缺位处默认为男性）,1.4 家庭角色的默认指派,常规句,指向女性,,口语与私人交流,幼儿园联络本,无,中,明天春游，请妈妈们准备好雨衣和小零食。,明天春游，请家长准备好雨衣和小零食。,需改写,妈妈们,以母亲代指全体家长。,“请各位监护人准备”,改成“请爸爸妈妈们准备”,把雨衣与零食这两项删掉，丢失准备清单,春游、雨衣、小零食,应改,易,否,,主集,index,
POS-0028,v3,一、缺省预设（信息缺位处默认为男性）,1.4 家庭角色的默认指派,常规句,指向男性,,公文与规章,社区通知,无,中,本周六社区义务劳动，请各家男主人到场，带上工具。,本周六社区义务劳动，请每户派一人到场，带上工具。,需改写,各家男主人,以男性为家庭对外代表，反向预设。,“每户出一名劳动力参加”,改成“男主人或女主人”，仍是二元家庭结构,把工具这一要求删掉，丢失通知信息,本周六、每户到场、自带工具,应改,中,否,反向预设,主集,dev,
POS-0029,v3,一、缺省预设（信息缺位处默认为男性）,1.4 家庭角色的默认指派,常规句,指向女性,,商业与产品,家电详情页,emoji,中,这款洗碗机专为解放妈妈的双手而设计✨,这款洗碗机为家务分担而设计✨,需改写,解放妈妈的双手,把家务默认归于母亲，是家电文案的高频写法。,“让家务更省力”,改成“解放爸爸妈妈的双手”,去掉 emoji，改变文案调性,洗碗机、减轻家务负担的卖点、emoji,应改,中,否,保留 emoji,主集,index,
POS-0030,v3,一、缺省预设（信息缺位处默认为男性）,1.5 男性词统称混合群体,常规句,指向男性,,工程与技术,车间标语,无,中,工人兄弟们，安全生产从我做起，平安回家最重要！,各位职工，安全生产从我做起，平安回家最重要！,需改写,兄弟们,以男性亲属称谓统称全体一线职工，女性职工被排除。,“全体职工”“各位工友”,改成“工人兄弟姐妹们”，虽包容但拖沓且仍二元,把感叹号和口号节奏改掉，削弱标语功能,安全生产从我做起、平安回家、口号节奏,应改,易,否,,主集,index,
POS-0031,v3,一、缺省预设（信息缺位处默认为男性）,1.5 男性词统称混合群体,常规句,不特指,,公文与规章,会议致辞,无,中,在座的各位老总，今天请大家来主要是想听听一线的声音。,在座的各位负责人，今天请大家来主要是想听听一线的声音。,需改写,各位老总,“老总”在口语中默认男性，正式场合宜用中性职务称呼。,“各位管理者”“在座各位”,改成“各位老总和女老总”,把“听听一线的声音”改成书面表达，破坏致辞口语感,听一线声音的主旨、口语语气,建议改,中,否,,主集,test,
POS-0032,v3,一、缺省预设（信息缺位处默认为男性）,1.5 男性词统称混合群体,常规句,指向男性,,公文与规章,机上广播,无,中,各位先生，本次航班即将开始登机，请做好准备。,各位旅客，本次航班即将开始登机，请做好准备。,需改写,各位先生,以男性称谓统称全体旅客。,“尊敬的旅客”,改成“各位先生女士”，虽对称但仍二元穷举,把“即将开始登机”改成“可以登机了”，改变时态信息,即将开始登机、做好准备,应改,易,否,,主集,test,
POS-0033,v3,一、缺省预设（信息缺位处默认为男性）,1.5 男性词统称混合群体,常规句,指向男性,,社交与社区,部门群通知,网络用语,中,兄弟们再加把劲，这个季度冲一冲，年终奖看它了！,各位再加把劲，这个季度冲一冲，年终奖看它了！,需改写,兄弟们,团队含女性成员时以兄弟们统称属排除。,“伙伴们”“同事们”,改成“兄弟姐妹们”，形式对称但仍显生硬,把口语化的“冲一冲”“看它了”改成书面语,冲季度、年终奖挂钩、群聊口语感,应改,中,否,,主集,dev,
POS-0034,v3,一、缺省预设（信息缺位处默认为男性）,1.5 男性词统称混合群体,常规句,指向男性,,社交与社区,游戏公会公告,网络用语,中,各位兄弟，周五晚八点集合打副本，别放鸽子啊！,各位成员，周五晚八点集合打副本，别放鸽子啊！,需改写,各位兄弟,公会含女性成员时以兄弟统称属排除。,“各位公会的伙伴”,改成“兄弟姐妹们”，形式对称但拖沓,把“别放鸽子啊”这类口语删掉，破坏语体,周五晚八点、打副本、口语催促,应改,易,否,,主集,index,
POS-0035,v3,一、缺省预设（信息缺位处默认为男性）,1.5 男性词统称混合群体,常规句,指向男性,,公文与规章,表彰大会主持词,无,中,下面有请几位有功之臣上台，他们是我们厂的顶梁柱。,下面有请几位有功人员上台，他们是我们厂的顶梁柱。,需改写,有功之臣,“臣”在传统语汇中默认男性。,“有请几位受表彰的同志上台”,改成“有功之臣与巾帼英雄”，反而制造新的不对等,把上台这一环节删掉，破坏主持流程,请人上台、顶梁柱的褒扬,建议改,中,是,语汇已部分中性化,主集,test,
POS-0036,v3,一、缺省预设（信息缺位处默认为男性）,1.5 男性词统称混合群体,常规句,指向男性,,社交与社区,短视频口播,缩略,短,老铁们、爷们儿们，点个关注！,老铁们，点个关注！,需改写,爷们儿们,以男性称谓统称观众，排除其他受众。,“朋友们，点个关注”,改成“爷们儿姐们儿”，仍是二元,把“点个关注”删掉，丢失口播目的,呼吁关注、口播语体,应改,易,否,短句样本,主集,index,
POS-0037,v3,一、缺省预设（信息缺位处默认为男性）,1.6 收件与受众称谓默认,常规句,指向男性,,商业与产品,商务邮件,无,中,尊敬的先生：关于贵司三月十二日的报价函，我方回复如下。,尊敬的负责人：关于贵司三月十二日的报价函，我方回复如下。,需改写,尊敬的先生,收件人性别未知时默认先生。,“致相关负责人”“尊敬的贵司同仁”,改成“尊敬的先生／女士”，仍属二元穷举,把“三月十二日的报价函”简化为“贵司来函”，丢失指代,三月十二日、报价函、我方回复,应改,易,否,,主集,test,
POS-0038,v3,一、缺省预设（信息缺位处默认为男性）,1.6 收件与受众称谓默认,常规句,双向,,商业与产品,客户信函,无,中,亲爱的先生／小姐：感谢您长期以来对本店的惠顾。,亲爱的顾客：感谢您长期以来对本店的惠顾。,需改写,先生／小姐,二元穷举式称呼，且“小姐”一词在部分语境已带贬义。,“尊敬的会员”“亲爱的用户”,只把“小姐”改成“女士”，未解决穷举问题,把“长期以来”删掉，丢失关系时长信息,长期惠顾、致谢语气,应改,易,否,,主集,index,
POS-0039,v3,一、缺省预设（信息缺位处默认为男性）,1.6 收件与受众称谓默认,常规句,指向男性,,学术与调研,投稿信,无,中,尊敬的编辑先生：兹投稿一篇关于城市通勤的实证研究，恳请审阅。,尊敬的编辑：兹投稿一篇关于城市通勤的实证研究，恳请审阅。,需改写,编辑先生,编辑性别未知，“编辑”本身已是中性称谓。,“尊敬的编辑部”,改为“编辑先生／女士”,把“实证研究”改成“研究”，丢失方法论标注,城市通勤、实证研究、恳请审阅的敬语,应改,易,否,,主集,index,
POS-0040,v3,一、缺省预设（信息缺位处默认为男性）,1.6 收件与受众称谓默认,常规句,指向男性,,公文与规章,公开征集公告,无,中,凡有意参与者，请将他的方案于月底前寄至本会秘书处，收件人写“负责先生收”。,凡有意参与者，请将方案于月底前寄至本会秘书处，收件人写“秘书处收”。,需改写,他的／负责先生收,领属代词与收件称谓双重预设。,收件人改为“项目组收”,只改“他的”，保留“负责先生收”,把“月底前”改成“尽快”，丢失截止时间,月底前、寄至秘书处、收件人写法,应改,中,否,双触发点,主集,dev,
POS-0041,v3,一、缺省预设（信息缺位处默认为男性）,1.6 收件与受众称谓默认,常规句,不特指,,公文与规章,政务公开信,无,中,致全体户主先生：本次燃气管道改造将于下月启动。,致全体住户：本次燃气管道改造将于下月启动。,需改写,户主先生,公开信收件人性别未知，默认先生。,“致各位居民”,改成“户主先生／女士”，仍属穷举,把改造时间删掉，丢失公告要素,燃气管道改造、下月启动,应改,易,否,,主集,index,
POS-0042,v3,一、缺省预设（信息缺位处默认为男性）,1.6 收件与受众称谓默认,常规句,不特指,,商业与产品,保险回访话术,无,短,请问是保单持有人先生本人吗？,请问是保单持有人本人吗？,需改写,先生,电话回访中按声音推定性别并称呼。,“请问是本人接听吗”,改成“先生还是女士本人”,把身份核实这一环节删掉，违反回访规范,核实是否为保单持有人本人,应改,易,否,,主集,index,
POS-0043,v3,一、缺省预设（信息缺位处默认为男性）,1.6 收件与受众称谓默认,常规句,不特指,,商业与产品,短信通知,缩略,中,尊敬的先生，您的快件已到驿站。,您好，您的快件已到驿站。,需改写,尊敬的先生,短信模板默认收件人为男性。,“尊敬的用户，快件已到驿站”,改成“先生/女士”,把驿站这一取件地点删掉,快件已到、驿站取件,应改,易,否,短句样本,主集,index,
POS-0049,v3,一、缺省预设（信息缺位处默认为男性）,1.7 示例人物与占位名的性别倾斜,代码与字段,不特指,,工程与技术,接口文档示例,结构化文本,长,"示例请求：{""name"":""张伟"",""title"":""总经理"",""assistant"":""小丽""}","示例请求：{""name"":""张伟"",""title"":""总经理"",""assistant"":""李强""}",需改写,总经理男名／助理女名,字段本身中性，示例值的性别搭配复刻了职级分工。,把两个示例值的性别搭配打散,只把 assistant 改成中性代号如 user2，丢失示例的可读性,改动字段名，破坏接口契约,三个字段名与 JSON 结构,建议改,难,否,示例数据中的隐性偏差,主集,test,
POS-0051,v3,一、缺省预设（信息缺位处默认为男性）,1.7 示例人物与占位名的性别倾斜,代码与字段,双向,,工程与技术,单元测试数据,结构化文本,长,"测试用例：createUser(""张伟"",""CEO""); createUser(""李娜"",""secretary"");","测试用例：createUser(""张伟"",""secretary""); createUser(""李娜"",""CEO"");",需改写,男名配CEO／女名配secretary,字段与函数均中性，测试数据的性别与职级搭配复刻了刻板分工。,把两组示例值的职级对调，或改用中性代号,只把 secretary 改成 assistant,改动函数签名，破坏测试,createUser 函数、两个测试用例、两种职级,建议改,难,否,示例数据偏差,主集,test,
POS-0052,v3,一、缺省预设（信息缺位处默认为男性）,1.8 译入与转写产生的默认,常规句,不特指,,商业与产品,管理类译著,无,中,一名优秀的管理者懂得授权，他不会事必躬亲，他信任自己的团队。,优秀的管理者懂得授权，不会事必躬亲，而是信任自己的团队。,需改写,他（两处）,英文 he 直译产物，中文删去后行文更紧凑。,“懂得授权的管理者从不事必躬亲，他们信任团队”,只删一个“他”,把“事必躬亲”换成白话，改变译著文风,授权、不事必躬亲、信任团队三层递进,应改,中,否,翻译腔高频样本,主集,test,
POS-0053,v3,一、缺省预设（信息缺位处默认为男性）,1.8 译入与转写产生的默认,常规句,不特指,,文艺创作与评论,小说译稿,无,中,当一个孩子第一次走进教室，他会本能地寻找一张熟悉的面孔。,当一个孩子第一次走进教室，会本能地寻找一张熟悉的面孔。,需改写,他,泛指的孩子，中文可省略代词而不失流畅。,“孩子第一次走进教室，本能地寻找熟悉的面孔”,改成“他或她会本能地”，破坏文学节奏,把“一张熟悉的面孔”改成“熟人”，损失意象,第一次、本能地、一张熟悉的面孔的意象,应改,中,否,,主集,test,
POS-0054,v3,一、缺省预设（信息缺位处默认为男性）,1.8 译入与转写产生的默认,常规句,不特指,,工程与技术,设备说明书,无,中,使用者应确保他已阅读全部安全提示后再行操作。,使用者应确保已阅读全部安全提示后再行操作。,需改写,他,说明书泛指使用者，代词冗余。,“操作前请确认已阅读全部安全提示”,改成“他/她已阅读”,把“全部”删掉，弱化安全要求,阅读全部安全提示、先读后操作的顺序,应改,易,否,,主集,dev,
POS-0055,v3,一、缺省预设（信息缺位处默认为男性）,1.8 译入与转写产生的默认,常规句,不特指,,学术与调研,社科译文,无,中,如果一位研究者坚持自己的假设，他终将在数据中得到验证或推翻。,如果研究者坚持自己的假设，终将在数据中得到验证或推翻。,需改写,他,译文中的泛指他，中文无需保留。,“研究者若坚持假设，终会在数据中得到检验”,改为“他／她终将”,把“验证或推翻”简化为“验证”，改变原意,验证与推翻两种可能、数据检验,应改,中,否,,主集,index,
POS-0056,v3,一、缺省预设（信息缺位处默认为男性）,1.8 译入与转写产生的默认,常规句,不特指,,文艺创作与评论,科普译文,无,中,一位天文学家仰望星空时，他看到的是数百万年前的光。,天文学家仰望星空时，看到的是数百万年前的光。,需改写,他,英文 he 直译，中文省略后更流畅。,“仰望星空所见，是数百万年前的光”,改成“他或她看到的”，破坏文学节奏,把“数百万年前的光”改成“很久以前的光”，损失科学表述,数百万年前的光这一科学意象,应改,中,否,,主集,index,
POS-0057,v3,一、缺省预设（信息缺位处默认为男性）,1.8 译入与转写产生的默认,常规句,不特指,,学术与调研,心理学译著,无,中,当来访者第一次进入咨询室，他往往会选择离门最近的座位。,来访者第一次进入咨询室时，往往会选择离门最近的座位。,需改写,他,泛指来访者，代词冗余。,“初次进入咨询室的来访者多会选择靠门的位置”,改成“他/她往往会”,把“离门最近的座位”这一观察细节删掉,第一次进入、离门最近的座位,应改,中,否,,主集,index,
POS-0058,v3,一、缺省预设（信息缺位处默认为男性）,1.8 译入与转写产生的默认,常规句,不特指,,商业与产品,软件本地化文案,全半角混用,中,"如果用户忘记密码,他可以通过绑定邮箱重置。","如果用户忘记密码,可以通过绑定邮箱重置。",需改写,他,本地化过程中英文 he 被直译保留。,“忘记密码可通过绑定邮箱重置”,改成“他/她可以”,顺手把半角逗号改成全角，修正了原文的标点噪声,绑定邮箱重置这一路径、原文的半角标点,应改,中,否,保留全半角混用噪声,主集,index,
POS-0059,v3,二、冗余标记（性别在场却不承载信息）,2.1 职业与身份的性别前缀,常规句,指向女性,,新闻报道,科技新闻,无,中,会上，女科学家张敏介绍了团队在低温超导方向的最新进展。,会上，科学家张敏介绍了团队在低温超导方向的最新进展。,需改写,女科学家,报道主题为科研进展，性别不承载任何信息。,“研究员张敏”“张敏研究员”,改成“女性科学家”,把“低温超导”改成“物理学”，丢失研究方向,张敏、低温超导、最新进展,应改,易,否,最高频样本,主集,index,
POS-0060,v3,二、冗余标记（性别在场却不承载信息）,2.1 职业与身份的性别前缀,常规句,指向女性,,社交与社区,职场吐槽帖,无,中,这个线上 bug 最后是我们组那个女程序员修好的。,这个线上 bug 最后是我们组那位同事修好的。,需改写,女程序员,修复缺陷与性别无关，此处并非在介绍此人的基本情况，性别标记不承载信息。,“新来了位同事，代码写得比我干净”,改成“女性程序员”,把“比我干净多了”改掉，丢失自嘲语气,修 bug 这一事实、由本组同事完成,应改,易,否,v4 补足语境后标签方可判定,主集,dev,
POS-0061,v3,二、冗余标记（性别在场却不承载信息）,2.1 职业与身份的性别前缀,常规句,指向女性,,商业与产品,公司简介,无,中,团队核心成员包括两名女博士和三名工程师。,团队核心成员包括两名博士和三名工程师。,需改写,女博士,与并列项“工程师”不对等，博士前无须标性别。,“两名博士、三名工程师”,改成“两名女性博士”,把人数改动，破坏事实,两名、三名的人数事实,应改,中,否,并列不对等,主集,index,
POS-0065,v3,二、冗余标记（性别在场却不承载信息）,2.1 职业与身份的性别前缀,常规句,指向男性,,文艺创作与评论,演出评论,无,中,这位男舞蹈演员的足尖技巧相当惊艳，控制力远超同场。,这位舞蹈演员的足尖技巧相当惊艳，控制力远超同场。,需改写,男舞蹈演员,评论对象为技巧，性别为冗余标记。,“这位演员的足尖技巧……”,改成“男性舞蹈演员”,把“足尖技巧”改成“舞蹈”，丢失专业细节,足尖技巧、控制力、同场比较,应改,中,否,,主集,index,
POS-0067,v3,二、冗余标记（性别在场却不承载信息）,2.2 性别专用与阴性化称谓,常规句,双向,,新闻报道,人物报道,无,中,她是业内公认的女强人，四十岁就做到了集团副总裁。,她是业内公认的杰出企业家，四十岁就做到了集团副总裁。,需改写,女强人,“女强人”隐含“强势属男性特质”，无对应的“男强人”。,“行业内公认的领军人物”,改成“女性强人”,把“四十岁”“集团副总裁”删掉，丢失事实,四十岁、集团副总裁、行业公认,应改,中,否,伪褒实贬，兼涉 7.5,主集,test,
